Fecha;Cartera;Instrumento;Peso
09-01-19;BENCHMARK;ENELCHILE;4,36%
09-01-19;BENCHMARK;ENELGXCH;0,48%
09-01-19;BENCHMARK;ENTEL;1,83%
09-01-19;BENCHMARK;FALABELLA;7,72%
09-01-19;BENCHMARK;ILC;0,91%
09-01-19;BENCHMARK;ITAUCORP;2,56%
09-01-19;BENCHMARK;LTM;5,41%
09-01-19;BENCHMARK;PARAUCO;2,57%
09-01-19;BENCHMARK;RIPLEY;1,32%
09-01-19;BENCHMARK;SALFACORP;0,74%
09-01-19;BENCHMARK;SECURITY;0,70%
09-01-19;BENCHMARK;SM-CHILE B;3,51%
09-01-19;BENCHMARK;SONDA;1,37%
09-01-19;BENCHMARK;SQM-B;6,09%
09-01-19;BENCHMARK;VAPORES;0,66%
10-01-19;FONDO;ANDINA-B;1,59%
10-01-19;FONDO;ANTARCHILE;1,94%
10-01-19;FONDO;BCI;6,95%
10-01-19;FONDO;BSANTANDER;6,41%
10-01-19;FONDO;Caja CLP;1,04%
10-01-19;FONDO;CAP;0,42%
10-01-19;FONDO;CCU;1,16%
10-01-19;FONDO;CENCOSUD;2,74%
10-01-19;FONDO;CFILVSCC-L;8,06%
10-01-19;FONDO;CHILE;0,26%
10-01-19;FONDO;CMPC;6,62%
10-01-19;FONDO;COLBUN;0,47%
10-01-19;FONDO;COPEC;5,47%
10-01-19;FONDO;ECL;3,07%
10-01-19;FONDO;ENELAM;9,53%
10-01-19;FONDO;ENELCHILE;4,39%
10-01-19;FONDO;ENTEL;0,95%
10-01-19;FONDO;FALABELLA;4,78%
10-01-19;FONDO;HITES;0,35%
10-01-19;FONDO;IAM;2,02%
